# YYYY-MM-DD  тип  описание
2026-04-27  camp-start  беговой лагерь начало
2026-05-09  hard-run    Load 101, пик лагеря
2026-05-10  no-sleep    ночной переезд из лагеря
2026-05-23  race-c      23km trail
2026-07-18  race-b      50km trail, маршрут полностью проложен по грунтовым дорогам на территории Кольской ветроэлектростанции. Значительных подъемов и спусков на маршруте нет. Дистанции беговые, без технически сложных участков. Сходов на тропинки и бездорожье нет.
2026-08-01  race-a      50km UTMB Gauja Trail (главная цель)
2026-05-18  illness     Признаки болезни - насморк, плохое общее состояние, усиленно принимаю витамин-C
2026-05-19  illness     Температура 36.7
2026-05-20  illness	Температура 36.6 - 36.9, насморк, решил пропустить тренировку
